gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000000457,SCYL3,1,0.177,3.02,0.264,0.205679,-0.028
ENSG00000002933,TMEM176A,7,0.115,3.21,0.578,0.309309,0.1
ENSG00000003056,M6PR,12,0.157,5.43,0.154,,0.305
ENSG00000004142,POLDIP2,17,0.178,5.68,0.163,0.327404,0.184
ENSG00000004534,RBM6,3,0.176,6.53,0.339,0.535457,0.231
ENSG00000005020,SKAP2,7,0.15,4.25,0.305,,0.089
ENSG00000005156,LIG3,17,0.378,4.53,0.183,0.466438,-0.211
ENSG00000006071,ABCC8,11,0.123,5.21,0.463,0.437717,0.129
ENSG00000007341,ST7L,1,0.165,2.99,0.198,0.199671,-0.184
ENSG00000008394,MGST1,12,0.155,4.95,0.629,0.309612,0.067
ENSG00000009413,REV3L,6,0.131,5.13,0.216,,0.08
ENSG00000010282,HHATL,3,0.118,5.29,0.524,0.252444,0.104
ENSG00000011295,TTC19,17,0.239,5.44,0.255,,-0.248
ENSG00000013016,EHD3,2,0.149,6.5,0.297,,0.167
ENSG00000013573,DDX11,12,0.846,2.93,0.775,0.891108,0.847
ENSG00000014138,POLA2,11,0.221,2.54,0.259,0.25066,0.161
ENSG00000015592,STMN4,8,0.324,6.78,0.347,0.464654,0.262
ENSG00000016602,CLCA4,1,0.184,1.47,0.729,,0.173
ENSG00000022976,ZNF839,14,0.151,2.85,0.305,,-0.162
ENSG00000023041,ZDHHC6,10,0.243,3.83,0.166,0.339473,0.319
ENSG00000023191,RNH1,11,0.195,5.45,0.269,0.33054,0.218
ENSG00000025423,HSD17B6,12,0.162,2.87,0.547,0.378618,0.2
ENSG00000026103,FAS,10,0.121,2.1,0.655,0.686303,0.399
ENSG00000026950,BTN3A1,6,0.131,3.14,0.348,,0.148
ENSG00000027847,B4GALT7,5,0.134,3.76,0.278,,0.117
ENSG00000029639,TFB1M,6,0.44,2.16,0.285,0.425801,0.428
ENSG00000030110,BAK1,6,0.116,3.03,0.239,0.127383,0.08
ENSG00000030582,GRN,17,0.116,4.75,0.319,0.235377,0.061
ENSG00000032742,IFT88,13,0.207,3.07,0.284,0.403981,0.201
ENSG00000033178,UBA6,4,0.172,4.83,0.211,,0.158
ENSG00000040531,CTNS,17,0.328,2.77,0.307,0.616533,0.296
ENSG00000042286,AIFM2,10,0.237,3.44,0.315,0.470329,-0.118
ENSG00000042445,RETSAT,2,0.129,4.89,0.288,0.406705,0.165
ENSG00000042493,CAPG,2,0.21,3.58,0.557,0.345402,0.233
ENSG00000047457,CP,3,0.163,3.58,1.461,0.204328,0.068
ENSG00000059691,GATB,4,0.221,4.94,0.236,0.278405,0.236
ENSG00000060491,OGFR,20,0.151,5.72,0.346,0.272711,0.218
ENSG00000063180,CA11,19,0.173,8.04,0.289,,0.126
ENSG00000064270,ATP2C2,16,0.162,1.69,0.454,0.211038,0.162
ENSG00000065325,GLP2R,17,0.173,1.19,0.812,0.331651,0.053
ENSG00000065621,GSTO2,10,0.338,3.44,0.388,0.654505,0.173
ENSG00000067836,ROGDI,16,0.173,6.15,0.321,0.440761,0.148
ENSG00000068654,POLR1A,2,0.273,5.23,0.173,0.479613,0.279
ENSG00000069943,PIGB,15,0.175,2.0,0.334,0.264427,0.211
ENSG00000070371,CLTCL1,22,0.294,2.58,0.373,0.605969,0.244
ENSG00000070413,DGCR2,22,0.168,6.86,0.262,0.26933,-0.084
ENSG00000070476,ZXDC,3,0.207,4.01,0.291,0.495985,0.227
ENSG00000073111,MCM2,3,0.144,1.88,0.348,,0.08
ENSG00000073849,ST6GAL1,3,0.17,4.87,0.336,,0.164
ENSG00000074410,CA12,15,0.284,1.65,0.965,0.492901,0.245
ENSG00000075131,TIPIN,15,0.445,1.76,0.312,0.46133,0.079
ENSG00000075234,TTC38,22,0.126,2.82,0.435,,0.067
ENSG00000075826,SEC31B,10,0.189,4.64,0.495,0.340392,0.177
ENSG00000078674,PCM1,8,0.218,6.89,0.177,0.643068,0.117
ENSG00000082512,TRAF5,1,0.123,2.97,0.345,,0.095
ENSG00000083814,ZNF671,19,0.126,3.28,0.193,,0.051
ENSG00000083845,RPS5,19,0.12,6.56,0.214,,-0.143
ENSG00000084207,GSTP1,11,0.308,6.06,0.265,0.519153,0.313
ENSG00000084444,FAM234B,12,0.117,5.83,0.305,0.229909,0.117
ENSG00000084463,WBP11,12,0.149,5.25,0.152,,0.146
ENSG00000085063,CD59,11,0.121,7.4,0.334,0.290458,0.091
ENSG00000085982,USP40,2,0.282,4.61,0.28,0.383051,0.222
ENSG00000087253,LPCAT2,16,0.191,2.76,0.575,0.334642,0.014
ENSG00000087365,SF3B2,11,0.138,7.01,0.184,0.360996,0.038
