gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000001460,STPG1,1,-0.226,3.89,0.248,0.287331,0.093
ENSG00000003249,DBNDD1,16,-0.112,5.7,0.333,,-0.041
ENSG00000004455,AK2,1,-0.091,4.86,0.172,,-0.056
ENSG00000006607,FARP2,2,-0.375,4.61,0.191,0.467026,-0.292
ENSG00000008283,CYB561,17,-0.221,5.15,0.426,0.839141,0.427
ENSG00000008988,RPS20,8,-0.167,7.48,0.189,0.220379,-0.091
ENSG00000009844,VTA1,6,-0.126,4.71,0.214,0.222674,-0.077
ENSG00000011260,UTP18,17,-0.122,3.82,0.218,0.397945,-0.041
ENSG00000012660,ELOVL5,6,-0.146,5.59,0.45,0.19296,0.143
ENSG00000013523,ANGEL1,14,-0.089,5.13,0.182,0.268945,-0.088
ENSG00000014824,SLC30A9,4,-0.119,5.82,0.245,0.227448,-0.113
ENSG00000020256,ZFP64,20,-0.095,2.98,0.24,,0.013
ENSG00000023228,NDUFS1,2,-0.178,7.0,0.204,0.280094,-0.053
ENSG00000023516,AKAP11,13,-0.125,7.34,0.262,0.448666,-0.152
ENSG00000025796,SEC63,6,-0.088,5.78,0.192,,-0.082
ENSG00000031691,CENPQ,6,-0.347,1.47,0.431,0.506392,-0.352
ENSG00000035664,DAPK2,15,-0.102,2.8,0.339,0.284434,-0.019
ENSG00000037637,FBXO42,1,-0.139,4.76,0.171,0.371846,0.164
ENSG00000038002,AGA,4,-0.086,2.17,0.472,0.619445,0.29
ENSG00000041802,LSG1,3,-0.409,4.44,0.209,0.628286,-0.386
ENSG00000042429,MED17,11,-0.187,4.0,0.189,0.386609,0.183
ENSG00000050426,LETMD1,12,-0.1,5.27,0.228,0.225908,0.102
ENSG00000053900,ANAPC4,4,-0.29,4.35,0.258,0.430525,-0.281
ENSG00000055950,MRPL43,10,-0.214,4.37,0.167,0.357984,0.224
ENSG00000056558,TRAF1,9,-0.13,3.66,0.465,0.412358,-0.221
ENSG00000058729,RIOK2,5,-0.109,3.3,0.209,0.338749,-0.035
ENSG00000063438,AHRR,5,-0.087,1.51,0.643,0.448353,-0.236
ENSG00000063854,HAGH,16,-0.172,5.8,0.243,0.305797,0.243
ENSG00000063978,RNF4,4,-0.146,5.03,0.159,0.332341,-0.007
ENSG00000064199,SPA17,11,-0.237,2.09,0.314,0.287615,-0.17
ENSG00000064999,ANKS1A,6,-0.108,5.3,0.237,0.36024,-0.038
ENSG00000065060,UHRF1BP1,6,-0.46,4.08,0.2,0.508311,0.445
ENSG00000065427,KARS,16,-0.085,5.26,0.168,,0.07
ENSG00000065600,TMEM206,1,-0.109,3.07,0.373,0.203902,-0.075
ENSG00000066056,TIE1,1,-0.107,3.82,0.506,,0.177
ENSG00000066654,THUMPD1,16,-0.226,5.05,0.156,0.222623,-0.162
ENSG00000066923,STAG3,7,-0.096,2.94,0.357,0.23217,-0.093
ENSG00000071462,BUD23,7,-0.148,4.65,0.174,0.227607,-0.019
ENSG00000071794,HLTF,3,-0.145,4.79,0.285,0.320445,-0.1
ENSG00000071894,CPSF1,8,-0.323,5.58,0.419,0.679658,-0.244
ENSG00000071994,PDCD2,6,-0.128,4.01,0.155,0.174708,0.107
ENSG00000074219,TEAD2,19,-0.217,1.75,0.625,0.394335,-0.075
ENSG00000074755,ZZEF1,17,-0.102,5.77,0.165,,-0.079
ENSG00000075399,VPS9D1,16,-0.141,5.14,0.313,0.404395,-0.155
ENSG00000078699,CBFA2T2,20,-0.111,5.45,0.169,,-0.068
ENSG00000079332,SAR1A,10,-0.094,6.07,0.171,0.280078,-0.109
ENSG00000080200,CRYBG3,3,-0.153,3.73,0.488,0.239907,-0.159
ENSG00000080345,RIF1,2,-0.151,5.96,0.183,0.297446,0.257
ENSG00000082258,CCNT2,2,-0.162,5.0,0.187,,-0.161
ENSG00000083535,PIBF1,13,-0.263,3.03,0.248,0.366596,0.076
ENSG00000083807,SLC27A5,19,-0.115,3.48,0.242,,0.177
ENSG00000085514,PILRA,7,-0.546,1.98,0.521,0.603317,0.413
ENSG00000086205,FOLH1,11,-0.095,3.05,0.767,,-0.103
ENSG00000086504,MRPL28,16,-0.088,5.05,0.292,0.269903,-0.148
ENSG00000087191,PSMC5,17,-0.207,6.58,0.194,0.208363,-0.206
ENSG00000087338,GMCL1,2,-0.224,3.88,0.241,0.256531,-0.26
ENSG00000089335,ZNF302,19,-0.178,5.42,0.203,0.453226,0.017
ENSG00000090487,SPG21,15,-0.249,4.84,0.182,0.422549,-0.303
ENSG00000091490,SEL1L3,4,-0.138,3.84,0.401,0.197922,-0.091
ENSG00000092036,HAUS4,14,-0.229,2.77,0.373,0.406556,0.276
ENSG00000093000,NUP50,22,-0.118,5.0,0.152,0.296964,-0.155
ENSG00000095564,BTAF1,10,-0.184,4.44,0.303,,-0.19
ENSG00000095794,CREM,10,-0.113,4.01,0.302,,0.097
ENSG00000100106,TRIOBP,22,-0.102,3.79,0.323,,0.086
ENSG00000100299,ARSA,22,-0.23,3.96,0.349,0.500465,-0.148
ENSG00000100364,KIAA0930,22,-0.086,8.0,0.343,0.123976,-0.118
ENSG00000100441,KHNYN,14,-0.146,4.84,0.293,0.421551,-0.245
ENSG00000100577,GSTZ1,14,-0.188,2.96,0.48,0.4044,-0.14
ENSG00000100580,TMED8,14,-0.173,5.53,0.166,0.279013,-0.137
ENSG00000100612,DHRS7,14,-0.134,4.8,0.235,0.301575,0.087
