absR_decile,absR_decile_idx,n,n_egene,egene_rate,ci_lo,ci_hi,mean_absR,median_absR
1,0,694,219,0.31556195965417866,0.28097982708933716,0.3515850144092219,0.003873198847262248,0.004
2,1,741,173,0.23346828609986506,0.20242914979757085,0.2631578947368421,0.011954116059379218,0.012
3,2,654,187,0.28593272171253825,0.25229357798165136,0.3211009174311927,0.020558103975535164,0.021
4,3,659,176,0.26707132018209406,0.2336874051593323,0.30045523520485584,0.029022761760242793,0.029
5,4,706,217,0.3073654390934844,0.2733356940509915,0.34277620396600567,0.03872237960339942,0.039
6,5,642,213,0.3317757009345794,0.29439252336448596,0.3691588785046729,0.05014018691588785,0.05
7,6,690,249,0.36086956521739133,0.32463768115942027,0.39565217391304347,0.06462608695652174,0.064
8,7,676,303,0.44822485207100593,0.41272189349112426,0.48668639053254437,0.08481508875739643,0.084
9,8,671,389,0.5797317436661699,0.5424739195230999,0.61698956780924,0.1218822652757079,0.121
10,9,675,557,0.8251851851851851,0.797037037037037,0.8533333333333334,0.2486251851851852,0.211
