absR_decile,n_egene,n_R_positive,direction_accuracy,direction_pval
1,219,98,0.4474885844748858,0.9476814485801858
2,173,87,0.5028901734104047,0.49999999999999983
3,187,91,0.48663101604278075,0.6695257682424036
4,176,83,0.4715909090909091,0.7964563827480227
5,217,112,0.5161290322580645,0.3419397210132355
6,213,119,0.5586854460093896,0.049928112743245025
7,249,139,0.5582329317269076,0.037890597385975944
8,303,150,0.49504950495049505,0.5908506989905897
9,389,222,0.570694087403599,0.00305569145243438
10,557,348,0.6247755834829444,2.0895078186751643e-09
